base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
CB,14A,158,open,9/5/2017,Apr-17,19:32,19,Tapirus terrestris,tapir,ungulate,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,15,1,1,0,150000
CB,14A,158,open,9/5/2017,Apr-17,22:53,22,Tapirus terrestris,tapir,ungulate,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,15,1,1,0,150000
CB,14A,158,open,9/5/2017,Apr-17,22:53,22,Tapirus terrestris,tapir,ungulate,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,15,1,1,0,150000
CB,14A,158,open,11/5/2017,Apr-17,14:35,14,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,16,1,1,1,2000
CB,14A,158,open,11/5/2017,Apr-17,14:35,14,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,16,1,1,0,2000
CB,14A,158,open,11/5/2017,Apr-17,14:35,14,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,16,1,1,0,2000
CB,14F,161,close,4/17/2017,Apr-17,11:15,11,bird,bird,bird,,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,1,1,1,1,40
CB,14F,161,close,4/20/2017,Apr-17,7:51,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,2,1,2,1,140
CB,14F,161,close,4/20/2017,Apr-17,7:51,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,2,2,2,0,140
CB,14F,161,close,4/20/2017,Apr-17,7:52,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:02,12/5/2017 9:00,36.87361111,884.9666667,2,2,2,0,140
